chr strand tss gene
chr2 + 27346656 ABHD1
chr3 + 111697722 ABHD10
chr7 - 73150424 ABHD11
chr20 - 25275378 ABHD12
chr14 + 51338877 ABHD12B
chr13 + 108870762 ABHD13
chr3 + 52009041 ABHD14A
chr3 - 52002525 ABHD14B
chr17 - 27887688 ABHD15
chr15 + 89631380 ABHD2
chr18 - 19230857 ABHD3
chr14 + 23067146 ABHD4
chr3 + 43732374 ABHD5
chr3 + 58223228 ABHD6
chr19 - 17402939 ABHD8
chr10 - 27035524 ABI1
chr2 + 204192961 ABI2
chr17 + 47287588 ABI3
chr3 - 100468178 ABI3BP
chr9 + 133710641 ABL1
chr1 - 179079715 ABL2
chr10 - 116190868 ABLIM1
chr4 - 7967036 ABLIM2
chr5 + 148521009 ABLIM3
chr9 - 136130562 ABO
chr17 - 906757 ABR
chr8 - 107771710 ABRA
chr6 + 26597170 ABT1
chr3 + 127391780 ABTB1
chr11 - 34172533 ABTB2
chr3 - 38164200 ACAA1
chr18 - 47309873 ACAA2
chr17 - 35441926 ACACA
chr12 + 109577201 ACACB
chr12 + 112123856 ACAD10
chr3 - 132276981 ACAD11
chr11 + 134123433 ACAD8
chr3 + 128598332 ACAD9
chr2 - 211052715 ACADL
chr1 + 76190031 ACADM
chr12 + 121163540 ACADS
chr10 + 124768428 ACADSB
chr17 + 7123149 ACADVL
chr15 + 89346673 ACAN
chr17 + 7239847 ACAP1
chr3 - 194995464 ACAP2
chr1 - 1227763 ACAP3
chr11 + 107992257 ACAT1
chr6 + 160183510 ACAT2
chr1 - 226332379 ACBD3
chr17 + 43209966 ACBD4
chr10 - 27484142 ACBD5
chr1 - 180257351 ACBD6
chr10 - 15117473 ACBD7
chr11 + 44087728 ACCS
chr11 + 44069530 ACCSL
chr16 - 67691414 ACD
chr17 + 61554421 ACE
chrX - 15579155 ACE2
chr19 - 6306509 ACER1
chr9 + 19408924 ACER2
chr11 + 76571916 ACER3
chr7 - 100487614 ACHE
chr14 - 23527773 ACIN1
chr17 - 40023169 ACLY
chr2 + 135596185 ACMSD
chr9 + 32384600 ACO1
chr22 + 41865128 ACO2
chr14 + 74003927 ACOT1
chr1 + 55013806 ACOT11
chr5 - 80625946 ACOT12
chr6 + 24667262 ACOT13
chr14 + 74034323 ACOT2
chr14 + 74058409 ACOT4
chr14 + 74083547 ACOT6
chr1 - 6324331 ACOT7
chr20 - 44470359 ACOT8
chrX - 23721776 ACOT9
chr17 - 73937588 ACOX1
chr3 - 58490862 ACOX2
chr4 - 8368008 ACOX3
chr2 + 111490149 ACOXL
chr2 + 264868 ACP1
chr11 - 47260852 ACP2
chr19 - 11685474 ACP5
chr1 - 147119167 ACP6
chr3 + 132036210 ACPP
chr19 + 51293671 ACPT
chr22 + 51176651 ACR
chr12 - 6747241 ACRBP
chr11 - 125542228 ACRV1
chr15 - 78463186 ACSBG1
chr19 + 6135643 ACSBG2
chr17 + 48503518 ACSF2
chr16 + 89160216 ACSF3
chr4 - 185676748 ACSL1
chr2 + 223725731 ACSL3
chrX - 108884563 ACSL4
chr10 + 114133915 ACSL5
chr5 - 131285666 ACSL6
chr16 - 20634558 ACSM1
chr16 + 20462782 ACSM2A
chr16 - 20548082 ACSM2B
chr16 + 20775311 ACSM3
chr12 + 7456927 ACSM4
chr16 + 20420855 ACSM5
chr20 - 24986865 ACSS1
chr20 + 33462765 ACSS2
chr12 + 81471796 ACSS3
chr1 - 229566992 ACTA1
chr10 - 90694830 ACTA2
chr7 - 5566778 ACTB
chr5 - 56775842 ACTBL2
chr15 - 35080296 ACTC1
chr17 - 79476996 ACTG1
chr2 + 74120092 ACTG2
chr3 + 179280667 ACTL6A
chr7 - 100240725 ACTL6B
chr9 + 111624507 ACTL7A
chr9 - 111616868 ACTL7B
chr1 + 18081807 ACTL8
chr19 - 8807746 ACTL9
chr14 - 69340839 ACTN1
chr1 + 236849753 ACTN2
chr11 + 66314311 ACTN3
chr19 + 39138255 ACTN4
chr14 + 58666832 ACTR10
chr10 - 104238985 ACTR1A
chr2 - 98272401 ACTR1B
chr2 + 65454828 ACTR2
chr2 + 114647510 ACTR3
chr7 + 152456833 ACTR3B
chr7 - 149944300 ACTR3C
chr20 + 37377096 ACTR5
chr12 + 100593864 ACTR6
chr3 - 53901093 ACTR8
chrX - 127184940 ACTRT1
chr1 + 2938045 ACTRT2
chr2 - 158592958 ACVR1
chr12 + 52347163 ACVR1B
chr2 - 158383278 ACVR1C
chr2 + 148602563 ACVR2A
chr3 + 38495789 ACVR2B
chr12 + 52301201 ACVRL1
chr3 + 52017299 ACY1
chr11 - 67410025 ACY3
chr14 - 75519927 ACYP1
chr2 + 54198239 ACYP2
chr20 - 43248159 ADA
chr4 + 123300120 ADAD1
chr16 + 84224722 ADAD2
chr15 + 43622548 ADAL
chr15 - 58887402 ADAM10
chr17 + 42836546 ADAM11
chr10 - 127729910 ADAM12
chr1 + 155023747 ADAM15
chr2 - 9628614 ADAM17
chr8 + 39442086 ADAM18
chr5 - 156904311 ADAM19
chr8 - 39601254 ADAM2
chr14 - 70989077 ADAM20
chr14 + 70918873 ADAM21
chr14 - 70712469 ADAM21P1
chr7 + 87563457 ADAM22
chr2 + 207308367 ADAM23
chr8 + 24151552 ADAM28
chr4 + 175839508 ADAM29
chr1 - 120436155 ADAM30
chr8 + 38965047 ADAM32
chr20 - 3648611 ADAM33
chr8 - 39308563 ADAM3A
chr14 - 106435817 ADAM6
chr8 + 24298508 ADAM7
chr10 - 135075919 ADAM8
chr8 + 38854504 ADAM9
chr8 + 24241797 ADAMDEC1
chr21 - 28208605 ADAMTS1
chr19 - 8645123 ADAMTS10
chr5 - 33751301 ADAMTS12
chr9 + 136287119 ADAMTS13
chr10 + 72432261 ADAMTS14
chr11 + 130318868 ADAMTS15
chr5 + 5140442 ADAMTS16
chr15 - 100511642 ADAMTS17
chr16 - 77316024 ADAMTS18
chr5 + 128795957 ADAMTS19
chr5 - 178577680 ADAMTS2
chr12 - 43747668 ADAMTS20
chr4 - 73146685 ADAMTS3
chr1 - 161159518 ADAMTS4
chr21 - 28290230 ADAMTS5
chr5 - 64444562 ADAMTS6
chr15 - 79051544 ADAMTS7
chr11 - 130274817 ADAMTS8
chr3 - 64501330 ADAMTS9
chr9 + 18474078 ADAMTSL1
chr9 + 136399974 ADAMTSL2
chr15 + 84322837 ADAMTSL3
chr1 + 150521844 ADAMTSL4
chr19 - 1505016 ADAMTSL5
chr7 - 937536 ADAP1
chr17 + 29248753 ADAP2
chr1 - 154554533 ADAR
chr21 + 46494492 ADARB1
chr10 - 1223252 ADARB2
chr16 - 75630776 ADAT1
chr6 - 143743968 ADAT2
chr19 + 1905212 ADAT3
chr14 + 78266425 ADCK1
chr7 + 140372952 ADCK2
chr8 + 145597703 ADCK5
chr7 + 45613738 ADCY1
chr1 - 167778624 ADCY10
chr5 + 7396342 ADCY2
chr2 - 25042038 ADCY3
chr14 - 24787554 ADCY4
chr3 - 123001142 ADCY5
chr12 - 49159973 ADCY6
chr16 + 50321822 ADCY7
chr8 - 131792546 ADCY8
chr16 - 4012649 ADCY9
chr18 + 905196 ADCYAP1
chr7 + 31092075 ADCYAP1R1
chr4 + 2845583 ADD1
chr2 - 70889215 ADD2
chr10 + 111765561 ADD3
chr4 - 100197522 ADH1A
chr4 - 100227543 ADH1B
chr4 - 100257648 ADH1C
chr4 - 100044807 ADH4
chr4 - 99992129 ADH5
chr4 - 100123794 ADH6
chr4 - 100333417 ADH7
chr8 + 67344717 ADHFE1
chr2 - 3501689 ADI1
chr20 + 37209837 ADIG
chr3 + 186560462 ADIPOQ
chr1 - 202909952 ADIPOR1
chr12 + 1800246 ADIPOR2
chr10 + 75936246 ADK
chr11 + 10326526 ADM
chr22 + 50920152 ADM2
chr20 - 49505454 ADNP
chr18 + 77866914 ADNP2
chr10 + 64564515 ADO
chr1 + 203096835 ADORA1
chr22 + 24828086 ADORA2A
chr17 + 15848230 ADORA2B
chr1 - 112042050 ADORA3
chr15 - 73043707 ADPGK
chr3 + 119298279 ADPRH
chr13 - 114076254 ADPRHL1
chr1 + 36554452 ADPRHL2
chr8 - 26636569 ADRA1A
chr5 + 159343739 ADRA1B
chr20 - 4201277 ADRA1D
chr10 + 112836789 ADRA2A
chr2 - 96778622 ADRA2B
chr4 + 3768295 ADRA2C
chr10 + 115803805 ADRB1
chr5 + 148206155 ADRB2
chr8 - 37820513 ADRB3
chr20 + 60877951 ADRM1
chr22 + 40742503 ADSL
chr1 - 244571793 ADSS
chr14 + 105190533 ADSSL1
chr7 + 44143959 AEBP1
chr12 + 19593514 AEBP2
chr15 + 89164526 AEN
chr19 - 3052907 AES
chr4 - 7760439 AFAP1
chr5 + 148651400 AFAP1L1
chr10 - 116054582 AFAP1L2
chr4 + 87856153 AFF1
chrX + 147582138 AFF2
chr2 - 100163715 AFF3
chr5 - 132211070 AFF4
chr18 - 12328942 AFG3L2
chr4 + 74347461 AFM
chr17 + 76183397 AFMID
chr4 + 74301935 AFP
chr2 + 64751438 AFTPH
chr4 - 178351928 AGA
chr2 + 236402732 AGAP1
chr10 + 88730497 AGAP11
chr12 - 58118075 AGAP2
chr7 + 150782917 AGAP3
chr10 - 46321039 AGAP4
chr10 - 75434032 AGAP5
chr10 + 51748077 AGAP6
chr15 + 86623038 AGBL1
chr11 - 47681142 AGBL2
chr7 + 134671258 AGBL3
chr1 - 48998526 AGBL4
chr2 + 27274490 AGBL5
chr6_cox_hap2 - 3619425 AGER
chr2 + 228336887 AGFG1
chr7 + 100136833 AGFG2
chr5 + 76326209 AGGF1
chr7 + 141251077 AGK
chr1 + 100315639 AGL
chr1 - 15898193 AGMAT
chr6_apd_hap1 - 3450723 AGPAT1
chr9 - 139567594 AGPAT2
chr21 + 45285115 AGPAT3
chr6 - 161551056 AGPAT4
chr8 + 6565877 AGPAT5
chr2 + 178257470 AGPS
chr7 - 16832263 AGR2
chr7 - 16899029 AGR3
chr1 + 955502 AGRN
chr16 - 67516473 AGRP
chr1 - 230838271 AGT
chr9 - 88161453 AGTPBP1
chr3 + 148415657 AGTR1
chrX + 115301957 AGTR2
chr1 + 11796141 AGTRAP
chr2 + 241808161 AGXT
chr5 - 34998205 AGXT2
chr1 - 247002401 AHCTF1
chr20 - 32868070 AHCY
chr1 + 110543548 AHCYL1
chr7 + 128864854 AHCYL2
chr1 - 27860755 AHDC1
chr6 - 135708921 AHI1
chr11 - 62201013 AHNAK
chr14 - 105403590 AHNAK2
chr7 + 17338275 AHR
chr5 + 304290 AHRR
chr14 + 77924372 AHSA1
chr2 + 61404552 AHSA2
chr3 + 186330849 AHSG
chr16 + 31539172 AHSP
chr12 - 8754761 AICDA
chr1 - 222841354 AIDA
chr6_qbl_hap6 + 2877417 AIF1
chr9 + 133971862 AIF1L
chrX - 129263337 AIFM1
chr10 - 71872022 AIFM2
chr22 + 21321446 AIFM3
chr6 + 143381978 AIG1
chr6 + 106959729 AIM1
chr1 - 26648349 AIM1L
chr1 - 159032273 AIM2
chr4 + 107237663 AIMP1
chr7 + 6050355 AIMP2
chr11 + 67250499 AIP
chr17 - 6327056 AIPL1
chr21 + 45705720 AIRE
chr1 + 4715104 AJAP1
chr9 - 130628758 AK1
chr1 - 33476825 AK2
chr9 - 4709556 AK3
chr1 + 77748286 AK5
chr14 + 96858447 AK7
chr17 + 55162552 AKAP1
chr17 - 19807764 AKAP10
chr13 + 42846288 AKAP11
chr6 + 151561133 AKAP12
chr15 + 85923846 AKAP13
chrX + 119029935 AKAP14
chr9 + 112810877 AKAP2
chr12 - 4724673 AKAP3
chrX - 49955419 AKAP4
chr14 + 64932216 AKAP5
chr14 + 32798478 AKAP6
chr6 + 131571298 AKAP7
chr19 - 15464331 AKAP8
chr19 - 15490858 AKAP8L
chr7 + 91570188 AKAP9
chr1 + 39456915 AKIRIN1
chr6 - 88384577 AKIRIN2
chr9 - 117098406 AKNA
chr1 - 109358519 AKNAD1
chr1 + 46016454 AKR1A1
chr7 - 134127101 AKR1B1
chr7 + 134212343 AKR1B10
chr7 + 134233848 AKR1B15
chr10 + 5005453 AKR1C1
chr10 - 5029967 AKR1C2
chr10 + 5136567 AKR1C3
chr10 + 5238797 AKR1C4
chr7 + 137761177 AKR1D1
chr10 + 4868368 AKR1E2
chr1 - 19629201 AKR7A2
chr1 - 19609056 AKR7A3
chr1 - 19592475 AKR7L
chr14 - 105235686 AKT1
chr19 - 50372289 AKT1S1
chr19 - 40736223 AKT2
chr1 - 243651534 AKT3
chr16 - 53524951 AKTIP
chr9 - 116148591 ALAD
chr3 + 52232098 ALAS1
chrX - 55035487 ALAS2
chr4 + 74269955 ALB
chr3 + 105085556 ALCAM
chr19 + 49956472 ALDH16A1
chr10 - 97365685 ALDH18A1
chr9 - 75515577 ALDH1A1
chr15 - 58245621 ALDH1A2
chr15 + 101419896 ALDH1A3
chr9 + 38392660 ALDH1B1
chr3 - 125822403 ALDH1L1
chr12 - 105413561 ALDH1L2
chr12 + 112204690 ALDH2
chr17 - 19641297 ALDH3A1
chr17 + 19552063 ALDH3A2
chr11 + 67777774 ALDH3B1
chr11 - 67429632 ALDH3B2
chr1 - 19197923 ALDH4A1
chr6 + 24495196 ALDH5A1
chr14 - 74524367 ALDH6A1
chr5 - 125877532 ALDH7A1
chr6 - 135238527 ALDH8A1
chr1 - 165631448 ALDH9A1
chr16 + 30064410 ALDOA
chr9 - 104182841 ALDOB
chr17 - 26900132 ALDOC
chr16 + 5121809 ALG1
chr12 + 34175215 ALG10
chr12 + 38710556 ALG10B
chr13 + 52586522 ALG11
chr22 - 50296853 ALG12
chrX + 110924345 ALG13
chr1 - 95448278 ALG14
chr3 - 125648117 ALG1L
chr3 + 129800673 ALG1L2
chr9 - 101978706 ALG2
chr3 - 183960116 ALG3
chr13 - 37523907 ALG5
chr1 + 63833260 ALG6
chr11 - 77811987 ALG8
chr11 - 111652918 ALG9
chr2 - 29415639 ALK
chr14 - 78138748 ALKBH1
chr12 - 109525992 ALKBH2
chr11 + 43902356 ALKBH3
chr7 - 102096666 ALKBH4
chr17 + 18086866 ALKBH5
chr19 - 36500017 ALKBH6
chr19 + 6372443 ALKBH7
chr11 - 107373452 ALKBH8
chr2 + 3705785 ALLC
chr2 + 73612885 ALMS1
chr17 + 6899383 ALOX12
chr17 - 7975953 ALOX12B
chr17 + 6797095 ALOX12P2
chr17 - 4534213 ALOX15
chr17 + 7942357 ALOX15B
chr10 + 45869613 ALOX5
chr13 + 31309644 ALOX5AP
chr17 - 7999217 ALOXE3
chr2 + 233320821 ALPI
chr4 + 113218498 ALPK1
chr18 - 56148481 ALPK2
chr15 + 85359910 ALPK3
chr1 + 21835850 ALPL
chr2 + 233243243 ALPP
chr2 + 233271551 ALPPL2
chr2 - 202564985 ALS2
chr3 - 46710484 ALS2CL
chr2 - 202152993 ALS2CR12
chr12 + 85674035 ALX1
chr1 - 110602996 ALX3
chr11 - 44282277 ALX4
chr5 - 33987090 AMACR
chr4 + 71457974 AMBN
chr9 - 116822407 AMBP
chr11 - 46417961 AMBRA1
chr6 + 111195986 AMD1
chr12 + 96337070 AMDHD1
chr16 + 2570362 AMDHD2
chrX + 11311532 AMELX
chrY - 6733958 AMELY
chr16 - 56395363 AMFR
chr19 + 2249277 AMH
chr12 + 53817638 AMHR2
chr1 - 110049445 AMIGO1
chr12 - 47470382 AMIGO2
chr3 - 49754266 AMIGO3
chrX - 109437413 AMMECR1
chr2 - 128619206 AMMECR1L
chr14 + 103388992 AMN
chr12 - 31824070 AMN1
chrX - 112018104 AMOT
chr11 + 94501507 AMOTL1
chr3 - 134074186 AMOTL2
chr1 - 115215719 AMPD1
chr1 + 110162434 AMPD2
chr11 + 10482677 AMPD3
chr7 - 38423296 AMPH
chr3 - 49454210 AMT
chr4 + 71384288 AMTN
chr1 + 104292439 AMY1A
chr1 + 104159953 AMY2A
chr1 + 104097265 AMY2B
chr7 + 2719155 AMZ1
chr17 + 66244144 AMZ2
chr17 - 62962667 AMZ2P1
chr2 - 112525213 ANAPC1
chr4 - 145915726 ANAPC10
chr17 + 79848665 ANAPC11
chr3 - 134196545 ANAPC13
chr10 + 73975757 ANAPC16
chr9 - 140069235 ANAPC2
chr4 + 25378847 ANAPC4
chr12 - 121746047 ANAPC5
chr12 - 110813271 ANAPC7
chr14 + 21152335 ANG
chr14 - 77253585 ANGEL1
chr1 - 213165523 ANGEL2
chr8 - 108261709 ANGPT1
chr8 - 6357174 ANGPT2
chr20 - 850541 ANGPT4
chr1 - 178818669 ANGPTL1
chr9 - 129849627 ANGPTL2
chr1 + 63063157 ANGPTL3
chr19 + 8429010 ANGPTL4
chr11 - 101761404 ANGPTL5
chr19 - 10203014 ANGPTL6
chr1 + 11249345 ANGPTL7
chr8 - 41510743 ANK1
chr4 + 113970784 ANK2
chr10 - 61786055 ANK3
chr2 + 190540710 ANKAR
chr15 + 65204100 ANKDD1A
chr17 + 54230835 ANKFN1
chr17 - 4067111 ANKFY1
chr5 - 14704908 ANKH
chr5 + 139781398 ANKHD1
chr5 + 139781398 ANKHD1-EIF4EBP3
chr7 + 91875547 ANKIB1
chr11 + 113258512 ANKK1
chr19 + 17392453 ANKLE1
chr12 - 133302252 ANKLE2
chr2 - 241418838 ANKMY1
chr7 - 16639400 ANKMY2
chr5 - 72848024 ANKRA2
chr10 - 92671856 ANKRD1
chr13 - 111530886 ANKRD10
chr16 - 89353065 ANKRD11
chr18 + 9136750 ANKRD12
chr12 + 110437234 ANKRD13A
chr17 + 27920526 ANKRD13B
chr1 - 70724684 ANKRD13C
chr11 + 67056761 ANKRD13D
chr10 - 5920049 ANKRD16
chr4 - 73939682 ANKRD17
chr10 + 99332197 ANKRD2
chr9 + 42368336 ANKRD20A3
chr9 + 69381980 ANKRD20A4
chr10 - 90579658 ANKRD22
chr2 - 97503650 ANKRD23
chr19 + 4183350 ANKRD24
chr10 - 27293044 ANKRD26
chr16 - 46503248 ANKRD26P1
chr19 - 33087906 ANKRD27
chr3 - 15708743 ANKRD28
chr18 - 21178889 ANKRD29
chr10 + 37414784 ANKRD30A
chr18 + 14748238 ANKRD30B
chr5 - 74364121 ANKRD31
chr12 + 52281792 ANKRD33
chr1 + 145470507 ANKRD34A
chr5 - 79852573 ANKRD34B
chr15 + 79575145 ANKRD34C
chr1 + 145549208 ANKRD35
chr2 + 97779232 ANKRD36
chr2 - 98121260 ANKRD36B
chr1 - 168214818 ANKRD36BP1
chr4 + 186317839 ANKRD37
chr2 - 97513723 ANKRD39
chr17 - 48770550 ANKRD40
chr11 + 82904780 ANKRD42
chr2 - 197851385 ANKRD44
chr1 - 173577474 ANKRD45
chr8 - 101532999 ANKRD46
chr11 + 94227152 ANKRD49
chr4 - 125585203 ANKRD50
chr12 - 56631590 ANKRD52
chr2 + 71205574 ANKRD53
chr22 - 38226861 ANKRD54
chr5 - 55395506 ANKRD55
chr6 + 90142896 ANKRD6
chr7 + 117864711 ANKRD7
chr14 - 102969985 ANKRD9
chr6 + 34857037 ANKS1A
chr12 - 99137751 ANKS1B
chr16 - 4746510 ANKS3
chr16 + 21245015 ANKS4B
chr9 - 101494290 ANKS6
chr2 + 220094478 ANKZF1
chr7 + 36429411 ANLN
chr11 + 69931515 ANO1
chr3 - 43407817 ANO10
chr12 - 5671816 ANO2
chr11 + 26210669 ANO3
chr12 + 101188373 ANO4
chr11 + 22214721 ANO5
chr12 + 45609769 ANO6
chr2 + 242127923 ANO7
chr19 - 17434031 ANO8
chr11 - 417929 ANO9
chr15 - 69070874 ANP32A
chr9 + 100745488 ANP32B
chr4 - 165118158 ANP32C
chr12 + 48866447 ANP32D
chr1 - 150190716 ANP32E
chr15 - 90328125 ANPEP
chr2 + 69240275 ANTXR1
chr4 - 80822770 ANTXR2
chr10 + 47658232 ANTXRL
chr9 + 75766646 ANXA1
chr4 + 169013687 ANXA10
chr10 - 81914879 ANXA11
chr8 - 124693033 ANXA13
chr15 - 60639349 ANXA2
chr4 - 154228620 ANXA2P1
chr9 + 33624222 ANXA2P2
chr10 + 66585284 ANXA2P3
chr4 + 79472741 ANXA3
chr2 + 69969105 ANXA4
chr4 - 122589151 ANXA5
chr5 - 150480266 ANXA6
chr10 - 75134858 ANXA7
chr10 - 47157983 ANXA8
chr10 + 47746849 ANXA8L1
chr1 + 150954498 ANXA9
chr7 - 36552548 AOAH
chr17 + 40996599 AOC2
chr17 + 41003200 AOC3
chr2 + 201450730 AOX1
chr4 + 113152894 AP1AR
chr22 - 29723668 AP1B1
chr16 - 71762904 AP1G1
chr14 - 24028771 AP1G2
chr19 + 16308664 AP1M1
chr19 - 10683346 AP1M2
chr7 + 100797685 AP1S1
chrX - 15843928 AP1S2
chr2 - 224620046 AP1S3
chr19 + 50270179 AP2A1
chr11 + 925808 AP2A2
chr17 + 33914281 AP2B1
chr3 + 183892633 AP2M1
chr19 - 47341414 AP2S1
chr5 - 77298149 AP3B1
chr15 - 83328032 AP3B2
chr19 - 2100986 AP3D1
chr10 - 75880014 AP3M1
chr8 + 42010463 AP3M2
chr5 + 115177302 AP3S1
chr15 - 90373830 AP3S2
chr1 - 114436816 AP4B1
chr15 + 51200868 AP4E1
chr7 + 99699129 AP4M1
chr14 + 31494675 AP4S1
chr12 + 99039077 APAF1
chr9 - 72042448 APBA1
chr15 + 29213839 APBA2
chr19 - 3750770 APBA3
chr11 - 6416353 APBB1
chr10 + 26727265 APBB1IP
chr4 - 40812043 APBB2
chr5 - 139937852 APBB3
chr5 + 112043201 APC
chr19 + 1450147 APC2
chr18 + 10454624 APCDD1
chr20 - 57045297 APCDD1L
chr1 + 159557615 APCS
chr3 + 49711434 APEH
chr14 + 20923289 APEX1
chrX + 55026755 APEX2
chr1 - 150237798 APH1A
chr15 + 63569748 APH1B
chr11 + 43333504 API5
chr11 - 34903842 APIP
chr2 + 68694690 APLF
chrX - 128779235 APLN
chr11 - 57001051 APLNR
chr19 + 36359346 APLP1
chr11 + 129939715 APLP2
chr11 - 116706466 APOA1
chr1 - 161192082 APOA2
chr11 - 116691417 APOA4
chr11 - 116660085 APOA5
chr2 - 21224300 APOB
chr12 - 7801995 APOBEC1
chr6 + 41020939 APOBEC2
chr22 + 39353526 APOBEC3A
chr22 + 39378403 APOBEC3B
chr22 + 39410264 APOBEC3C
chr22 + 39417117 APOBEC3D
chr22 + 39436672 APOBEC3F
chr22 + 39473009 APOBEC3G
chr22 + 39493228 APOBEC3H
chr1 - 183615410 APOBEC4
chr19 + 45417811 APOC1
chr19 + 45430059 APOC1P1
chr19 + 45449238 APOC2
chr11 + 116700623 APOC3
chr19 + 45445494 APOC4
chr3 - 195295572 APOD
chr19 + 45409277 APOE
chr12 - 56754354 APOF
chr17 - 64208146 APOH
chr22 + 36649116 APOL1
chr22 - 36622254 APOL2
chr22 - 36536376 APOL3
chr22 - 36585175 APOL4
chr22 + 36113918 APOL5
chr22 + 36044423 APOL6
chr12 + 12878850 APOLD1
chr6_mcf_hap5 + 2999866 APOM
chrX - 23851464 APOO
chrX + 84258897 APOOL
chr21 - 27252860 APP
chr17 - 58520509 APPBP2
chr3 + 57261764 APPL1
chr12 - 105567074 APPL2
chr16 - 88875876 APRT
chr9 - 32972603 APTX
chr7 + 30951308 AQP1
chr1 + 154293591 AQP10
chr11 + 77300679 AQP11
chr2 + 241631261 AQP12A
chr2 - 241615834 AQP12B
chr12 + 50344523 AQP2
chr9 - 33441151 AQP3
chr18 - 24432001 AQP4
chr12 + 50355278 AQP5
chr12 + 50366619 AQP6
chr9 - 33384947 AQP7
chr9 - 67270214 AQP7P1
chr9 + 42858151 AQP7P3
chr16 + 25228284 AQP8
chr15 + 58430394 AQP9
chr15 - 35148551 AQR
chrX + 66764464 AR
chrX + 47420498 ARAF
chr11 - 72396113 ARAP1
chr4 - 36067619 ARAP2
chr5 - 141032967 ARAP3
chr8 - 143692404 ARC
chr11 + 118443101 ARCN1
chr4 + 75310814 AREG
chr1 + 228270360 ARF1
chr12 - 49329991 ARF3
chr3 - 57557089 ARF4
chr7 + 127228405 ARF5
chr14 + 50359735 ARF6
chr20 + 61904136 ARFGAP1
chr11 - 47185848 ARFGAP2
chr22 - 43192531 ARFGAP3
chr8 - 68109883 ARFGEF1
chr20 + 47538274 ARFGEF2
chr4 + 153701088 ARFIP1
chr11 - 6495912 ARFIP2
chr20 - 62329994 ARFRP1
chr6 + 131894343 ARG1
chr14 + 68086578 ARG2
chr3 + 121286777 ARGFX
chr17 - 30477386 ARGFXP2
chr13 - 107195661 ARGLU1
chr11 - 46698624 ARHGAP1
chr4 + 148653452 ARHGAP10
chr15 + 32907676 ARHGAP11A
chr15 + 30918878 ARHGAP11B
chr10 - 32094325 ARHGAP12
chr2 + 143886898 ARHGAP15
chr16 - 24930704 ARHGAP17
chr6 - 129898239 ARHGAP18
chr10 - 98981929 ARHGAP19
chr11 - 110447758 ARHGAP20
chr10 - 24872537 ARHGAP21
chr10 - 49654067 ARHGAP22
chr17 + 36584719 ARHGAP23
chr4 + 86749045 ARHGAP24
chr2 + 68961912 ARHGAP25
chr5 + 142150291 ARHGAP26
chr17 - 43471267 ARHGAP27
chr18 + 6834431 ARHGAP28
chr1 - 94634462 ARHGAP29
chr1 - 161016731 ARHGAP30
chr3 + 119013219 ARHGAP31
chr11 - 128834954 ARHGAP32
chr19 + 36266416 ARHGAP33
chrX + 130192215 ARHGAP36
